Country Name,$PPP,Homicide Rate,Population,Region
Afghanistan,2293.551684,6.655561152,38041754,South Asia
Angola,6929.678158,4.847075177,31825295,Sub-Saharan Africa
Albania,14495.07851,2.289492444,2854191,Europe & Central Asia
United Arab Emirates,69900.87785,0.463782488,9770529,Middle East & North Africa
Argentina,22947.1398,5.324478739,44938712,Latin America & Caribbean
Armenia,14219.62771,1.693915557,2957731,Europe & Central Asia
Antigua and Barbuda,22816.4522,11.0610904,97118,Latin America & Caribbean
Australia,53320.26904,0.891632403,25364307,East Asia & Pacific
Austria,59110.56256,0.967228608,8877067,Europe & Central Asia
Azerbaijan,15000.8165,2.201107449,10023318,Europe & Central Asia
Burundi,782.8165888,6.054537366,11530580,Sub-Saharan Africa
Belgium,54545.15088,1.690054215,11484055,Europe & Central Asia
Benin,3423.551727,1.127497407,11801151,Sub-Saharan Africa
Burkina Faso,2280.380037,1.25044052,20321378,Sub-Saharan Africa
Bangladesh,4950.743581,2.373328796,163046161,South Asia
Bulgaria,24561.18261,1.304666594,6975761,Europe & Central Asia
Bahrain,46891.85984,0.523923468,1641172,Middle East & North Africa
"Bahamas, The",37265.8121,31.95817147,389482,Latin America & Caribbean
Bosnia and Herzegovina,15791.67474,1.17331026,3301000,Europe & Central Asia
Belarus,19943.29252,2.39087279,9466856,Europe & Central Asia
Belize,7295.230136,37.78857029,390353,Latin America & Caribbean
Bolivia,9086.060696,6.218374444,11513100,Latin America & Caribbean
Brazil,15258.85083,27.38253029,211049527,Latin America & Caribbean
Barbados,16286.97952,9.768350544,287025,Latin America & Caribbean
Brunei Darussalam,64673.29857,0.494542721,433285,East Asia & Pacific
Botswana,18502.81822,15.24830583,2303697,Sub-Saharan Africa
Central African Republic,984.0280497,20.12040065,4745185,Sub-Saharan Africa
Canada,51341.70517,1.755921136,37589262,North America
Switzerland,70989.25813,0.586468024,8574832,Europe & Central Asia
Chile,25154.99282,4.404894484,18952038,Latin America & Caribbean
China,16784.65935,0.527090789,1397715000,East Asia & Pacific
Cameroon,3804.071711,1.388093415,25876380,Sub-Saharan Africa
Colombia,15643.73145,25.3438026,50339443,Latin America & Caribbean
Cabo Verde,7469.075579,6.804422507,549935,Sub-Saharan Africa
Costa Rica,20434.40843,11.2612545,5047561,Latin America & Caribbean
Cyprus,30350.08663,1.261286411,1198575,Europe & Central Asia
Czech Republic,42575.61148,0.620240593,10669709,Europe & Central Asia
Germany,56052.42207,0.947976619,83132799,Europe & Central Asia
Dominica,12659.34451,26.58830115,71808,Latin America & Caribbean
Denmark,59830.15424,1.008321959,5818553,Europe & Central Asia
