Region,Country,Share of Duty-free Imports,Complexity of Tariffs,Trade Balance,Tariffs Faced,Margin of pref. in destination markets
Europe & Central Asia,Albania,32,70,116,101,22
Middle East & North Africa,Algeria,108,34,59,94,87
Latin America & Caribbean,Argentina,98,27,29,123,48
Europe & Central Asia,Armenia,90,102,115,99,16
East Asia & Pacific,Australia,85,5,30,117,133
Europe & Central Asia,Austria,4,108,55,65,55
Europe & Central Asia,Azerbaijan,110,64,7,128,93
Latin America & Caribbean,Bahamas,99,13,117,116,72
Middle East & North Africa,Bahrain,120,35,12,23,18
South Asia,Bangladesh,39,108,78,63,44
Sub-Saharan Africa,Benin,126,17,82,21,114
South Asia,Bhutan,69,54,104,136,7
Latin America & Caribbean,Bolivia,93,63,58,76,34
Europe & Central Asia,Bosnia and Herz.,48,93,119,107,19
Sub-Saharan Africa,Botswana,3,88,41,77,97
Latin America & Caribbean,Brazil,111,26,35,122,112
East Asia & Pacific,Brunei,26,78,9,95,53
Europe & Central Asia,Bulgaria,19,108,70,39,65
Sub-Saharan Africa,Burundi,68,46,113,16,75
East Asia & Pacific,Cambodia,97,71,121,1,13
Sub-Saharan Africa,Cameroon,131,29,71,67,58
North America,Canada,35,94,53,120,101
Sub-Saharan Africa,Chad,119,30,16,13,121
Latin America & Caribbean,Chile,21,2,46,5,61
East Asia & Pacific,China,95,43,32,114,129
Latin America & Caribbean,Colombia,81,44,62,37,59
Sub-Saharan Africa,Congo,133,6,1,31,117
Latin America & Caribbean,Costa Rica,57,39,76,27,91
Sub-Saharan Africa,Côte d'Ivoire,125,17,39,78,69
Europe & Central Asia,Croatia,7,108,106,47,25
Europe & Central Asia,Cyprus,28,108,122,43,82
Europe & Central Asia,Czechia,15,108,22,40,38
Europe & Central Asia,Denmark,36,108,28,49,56
Latin America & Caribbean,Dominican Rep.,87,36,87,89,76
Latin America & Caribbean,Ecuador,83,84,47,87,64
Middle East & North Africa,Egypt,84,76,105,66,51
Latin America & Caribbean,El Salvador,50,50,118,86,4
Europe & Central Asia,Estonia,17,108,72,54,63
Sub-Saharan Africa,Ethiopia,123,37,101,10,102
Europe & Central Asia,Finland,24,108,48,61,90
Europe & Central Asia,France,29,108,61,50,60
Sub-Saharan Africa,Gabon,117,31,5,119,132
Europe & Central Asia,Georgia,6,98,132,71,23
Europe & Central Asia,Germany,37,108,24,58,71
Sub-Saharan Africa,Ghana,121,7,34,90,84
Europe & Central Asia,Greece,30,108,90,59,31
Latin America & Caribbean,Guatemala,49,24,88,84,27
Latin America & Caribbean,Honduras,64,28,100,81,6
East Asia & Pacific,Hong Kong,1,1,102,124,127
Europe & Central Asia,Hungary,23,108,38,41,47
Europe & Central Asia,Iceland,8,96,67,24,41
South Asia,India,122,85,74,110,124
East Asia & Pacific,Indonesia,78,57,49,29,104
Middle East & North Africa,Iran,136,80,14,134,136
Europe & Central Asia,Ireland,33,108,8,60,57
Middle East & North Africa,Israel,43,79,65,68,95
Europe & Central Asia,Italy,41,108,31,57,74
Latin America & Caribbean,Jamaica,92,74,127,96,12
East Asia & Pacific,Japan,55,101,50,132,130
Middle East & North Africa,Jordan,51,91,131,34,15
Europe & Central Asia,Kazakhstan,101,106,10,127,98
Sub-Saharan Africa,Kenya,96,45,94,80,9
Middle East & North Africa,Kuwait,71,83,3,125,131
Europe & Central Asia,Kyrgyzstan,104,9,135,111,50
East Asia & Pacific,Laos,115,104,68,2,42
Europe & Central Asia,Latvia,59,60,84,53,80
Middle East & North Africa,Lebanon,18,108,129,72,49
Sub-Saharan Africa,Lesotho,100,92,133,14,3
Sub-Saharan Africa,Liberia,44,87,111,20,77
Europe & Central Asia,Lithuania,135,56,66,64,68
Europe & Central Asia,Luxembourg,25,108,86,51,36
Sub-Saharan Africa,Madagascar,16,108,75,4,8
Sub-Saharan Africa,Malawi,109,8,125,3,10
East Asia & Pacific,Malaysia,72,38,21,97,109
Sub-Saharan Africa,Mali,31,97,73,18,100
Middle East & North Africa,Malta,106,17,126,45,73
Sub-Saharan Africa,Mauritania,46,108,97,26,105
Sub-Saharan Africa,Mauritius,128,10,120,75,1
Latin America & Caribbean,Mexico,12,82,52,73,52
Europe & Central Asia,Moldova,22,59,124,70,40
East Asia & Pacific,Mongolia,91,75,18,108,135
Europe & Central Asia,Montenegro,132,4,136,103,26
Middle East & North Africa,Morocco,42,81,109,36,33
Sub-Saharan Africa,Mozambique,66,69,96,7,17
Sub-Saharan Africa,Namibia,94,16,114,74,62
South Asia,Nepal,10,86,134,12,2
Europe & Central Asia,Netherlands,129,52,23,56,35
East Asia & Pacific,New Zealand,47,108,54,102,113
Latin America & Caribbean,Nicaragua,60,53,93,79,11
Sub-Saharan Africa,Nigeria,56,33,26,113,128
Europe & Central Asia,North Macedonia,130,21,103,100,14
Europe & Central Asia,Norway,34,77,27,82,96
Middle East & North Africa,Oman,5,107,6,118,111
South Asia,Pakistan,82,42,91,69,103
Latin America & Caribbean,Panama,124,51,107,83,110
Latin America & Caribbean,Paraguay,103,40,85,88,99
Latin America & Caribbean,Peru,88,12,36,22,32
East Asia & Pacific,Philippines,62,67,99,25,83
Europe & Central Asia,Poland,73,61,44,42,29
Europe & Central Asia,Portugal,27,108,83,52,54
Middle East & North Africa,Qatar,14,108,2,126,134
Europe & Central Asia,Romania,107,14,81,38,45
Europe & Central Asia,Russia,9,108,15,133,120
Sub-Saharan Africa,Rwanda,102,105,98,11,85
Middle East & North Africa,Saudi Arabia,75,47,11,131,115
Sub-Saharan Africa,Senegal,113,25,110,17,28
Europe & Central Asia,Serbia,127,17,92,105,43
Sub-Saharan Africa,Sierra Leone,54,65,112,19,122
East Asia & Pacific,Singapore,134,11,19,33,88
Europe & Central Asia,Slovakia,2,3,51,44,46
Europe & Central Asia,Slovenia,11,108,40,45,37
Sub-Saharan Africa,South Africa,20,108,69,104,86
East Asia & Pacific,South Korea,63,89,37,32,118
Europe & Central Asia,Spain,38,108,60,62,24
South Asia,Sri Lanka,77,73,89,109,116
Europe & Central Asia,Sweden,40,108,45,55,81
Europe & Central Asia,Switzerland,13,136,25,35,106
East Asia & Pacific,Taiwan,70,90,20,135,126
Europe & Central Asia,Tajikistan,116,55,128,112,119
Sub-Saharan Africa,Tanzania,86,49,77,6,20
East Asia & Pacific,Thailand,61,100,42,91,89
Sub-Saharan Africa,The Gambia,118,22,130,30,21
Latin America & Caribbean,Trinidad and Tobago,76,72,17,98,70
Middle East & North Africa,Tunisia,53,41,108,92,39
Europe & Central Asia,Turkey,67,99,63,93,78
Sub-Saharan Africa,Uganda,79,48,95,8,5
Europe & Central Asia,Ukraine,80,66,79,106,107
Middle East & North Africa,United Arab Emirates,105,15,13,129,125
Europe & Central Asia,United Kingdom,45,108,80,48,92
North America,United States of America,58,103,64,130,108
Latin America & Caribbean,Uruguay,89,23,57,115,79
Latin America & Caribbean,Venezuela,114,32,4,121,123
East Asia & Pacific,Vietnam,65,68,33,28,94
Middle East & North Africa,Yemen,112,62,123,9,66
Sub-Saharan Africa,Zambia,52,58,56,15,67
Sub-Saharan Africa,Zimbabwe,74,95,43,85,30
