trade_openness,Region,Country,gdp_per_capita
144.9643575,Latin America & Caribbean,Aruba,29007.693
45.62117712,South Asia,Afghanistan,502.1154869
66.37801194,Sub-Saharan Africa,Angola,2973.59116
76.72829956,Europe & Central Asia,Albania,5352.857411
160.9360929,Middle East & North Africa,United Arab Emirates,43103.32306
32.39366596,Latin America & Caribbean,Argentina,10006.14897
91.43228557,Europe & Central Asia,Armenia,4622.733493
168.2389937,East Asia & Pacific,American Samoa,11466.69071
90.18543202,Latin America & Caribbean,Antigua and Barbuda,17790.30931
45.6862153,East Asia & Pacific,Australia,54907.10191
107.7247034,Europe & Central Asia,Austria,50277.27509
86.04387801,Europe & Central Asia,Azerbaijan,4793.58702
41.85736024,Sub-Saharan Africa,Burundi,261.2474725
163.2932215,Europe & Central Asia,Belgium,46116.69923
63.68133231,Sub-Saharan Africa,Benin,1219.432672
60.18214321,Sub-Saharan Africa,Burkina Faso,774.8396902
36.75929975,South Asia,Bangladesh,1855.739824
123.723105,Europe & Central Asia,Bulgaria,9737.601351
151.4048543,Middle East & North Africa,Bahrain,23503.97713
77.35039639,Latin America & Caribbean,"Bahamas, The",32933.48601
95.88061828,Europe & Central Asia,Bosnia and Herzegovina,6073.265203
133.3459895,Europe & Central Asia,Belarus,6663.295293
115.710072,Latin America & Caribbean,Belize,4815.163711
77.26078321,North America,Bermuda,85748.06541
56.39730664,Latin America & Caribbean,Bolivia,3552.068762
28.97662365,Latin America & Caribbean,Brazil,8717.186278
83.69167115,Latin America & Caribbean,Barbados,18148.24493
108.5096584,East Asia & Pacific,Brunei Darussalam,31086.75108
86.71171549,South Asia,Bhutan,3243.231126
74.11064198,Sub-Saharan Africa,Botswana,7961.33814
66.13513044,Sub-Saharan Africa,Central African Republic,467.9074406
64.9767045,North America,Canada,46194.72523
119.4384956,Europe & Central Asia,Switzerland,81993.72715
56.76178882,Latin America & Caribbean,Chile,14896.45387
35.68008749,East Asia & Pacific,China,10261.67913
45.59707942,Sub-Saharan Africa,Côte d'Ivoire,2286.162777
40.55391185,Sub-Saharan Africa,Cameroon,1497.909176
67.28727813,Sub-Saharan Africa,"Congo, Dem. Rep.",545.2162123
112.2508627,Sub-Saharan Africa,"Congo, Rep.",2011.072399
38.09475797,Latin America & Caribbean,Colombia,6432.387583
43.09452132,Sub-Saharan Africa,Comoros,1393.522372
116.2145286,Sub-Saharan Africa,Cabo Verde,3603.781794
66.09901583,Latin America & Caribbean,Costa Rica,12238.37496
27.0947682,Latin America & Caribbean,Cuba,8821.818891
157.5701116,Latin America & Caribbean,Curaçao,19573.89265
142.6429574,Europe & Central Asia,Cyprus,27858.371
144.8764656,Europe & Central Asia,Czech Republic,23101.7777
88.09866064,Europe & Central Asia,Germany,46258.87829
298.2662868,Middle East & North Africa,Djibouti,3408.846254
139.7866015,Latin America & Caribbean,Dominica,8300.375074
105.0016824,Europe & Central Asia,Denmark,59822.09296
52.96040208,Latin America & Caribbean,Dominican Republic,8282.116222
52.04477457,Middle East & North Africa,Algeria,3948.343279
46.7399136,Latin America & Caribbean,Ecuador,6183.823825
48.27827106,Middle East & North Africa,"Egypt, Arab Rep.",3020.03135
47.39379012,Sub-Saharan Africa,Eritrea,642.5076591
66.91706863,Europe & Central Asia,Spain,29613.67114
141.1541653,Europe & Central Asia,Estonia,23659.87229
28.74202171,Sub-Saharan Africa,Ethiopia,857.501351
79.46667333,Europe & Central Asia,Finland,48685.85399
64.52272903,Europe & Central Asia,France,40493.92857
101.6037541,Europe & Central Asia,Faroe Islands,58622.84082
100.8514618,East Asia & Pacific,"Micronesia, Fed. Sts.",3568.291016
72.93915874,Sub-Saharan Africa,Gabon,7667.366861
64.25367784,Europe & Central Asia,United Kingdom,42300.26713
116.8684915,Europe & Central Asia,Georgia,4769.186543
71.37819082,Sub-Saharan Africa,Ghana,2202.115567
108.7208264,Sub-Saharan Africa,Guinea,1064.131237
65.48444814,Sub-Saharan Africa,"Gambia, The",751.2946884
57.00855585,Sub-Saharan Africa,Guinea-Bissau,697.7844029
107.381315,Sub-Saharan Africa,Equatorial Guinea,8131.923888
74.38446677,Europe & Central Asia,Greece,19582.53601
110.0475655,Latin America & Caribbean,Grenada,10965.51316
85.84936014,Europe & Central Asia,Greenland,54470.95639
45.86557829,Latin America & Caribbean,Guatemala,4619.987097
73.36148649,East Asia & Pacific,Guam,35712.56214
79.08176442,Latin America & Caribbean,Guyana,5468.356629
352.8222341,East Asia & Pacific,"Hong Kong SAR, China",48755.83508
96.61335126,Latin America & Caribbean,Honduras,2574.912191
102.8497733,Europe & Central Asia,Croatia,14853.23984
74.30851404,Latin America & Caribbean,Haiti,754.5879177
162.9805419,Europe & Central Asia,Hungary,16475.74184
37.30339786,East Asia & Pacific,Indonesia,4135.569263
40.01853711,South Asia,India,2104.1459
239.2150917,Europe & Central Asia,Ireland,78660.95646
48.78063765,Middle East & North Africa,"Iran, Islamic Rep.",5520.310789
76.37385693,Middle East & North Africa,Iraq,5955.10901
85.91667594,Europe & Central Asia,Iceland,66944.82551
58.46463163,Middle East & North Africa,Israel,43641.39774
60.13943,Europe & Central Asia,Italy,33189.5658
89.02638174,Latin America & Caribbean,Jamaica,5582.263778
87.61716788,Middle East & North Africa,Jordan,4330.329346
36.81650736,East Asia & Pacific,Japan,40246.88013
64.43150616,Europe & Central Asia,Kazakhstan,9731.145207
33.40144307,Sub-Saharan Africa,Kenya,1816.546916
103.0849986,Europe & Central Asia,Kyrgyz Republic,1309.392992
123.5565238,East Asia & Pacific,Cambodia,1643.121389
98.39241362,East Asia & Pacific,Kiribati,1655.078839
122.6706323,Latin America & Caribbean,St. Kitts and Nevis,19896.4957
76.7093951,East Asia & Pacific,"Korea, Rep.",31761.97769
100.4875821,Middle East & North Africa,Kuwait,32031.9801
75.09189092,East Asia & Pacific,Lao PDR,2534.898277
63.61166881,Middle East & North Africa,Lebanon,7784.316857
127.4522759,Sub-Saharan Africa,Liberia,621.8929536
118.3218047,Middle East & North Africa,Libya,7683.750611
52.37086358,South Asia,Sri Lanka,3853.083693
134.6219131,Sub-Saharan Africa,Lesotho,1157.535164
150.5807405,Europe & Central Asia,Lithuania,19455.45413
381.5166164,Europe & Central Asia,Luxembourg,114704.5942
119.7300625,Europe & Central Asia,Latvia,17836.36489
116.9395173,East Asia & Pacific,"Macao SAR, China",84096.39631
87.46319002,Middle East & North Africa,Morocco,3204.095003
85.76872986,Europe & Central Asia,Moldova,4498.52085
59.8221541,Sub-Saharan Africa,Madagascar,522.2198092
135.7373599,South Asia,Maldives,10790.50024
78.17597157,Latin America & Caribbean,Mexico,9863.072699
125.7276819,East Asia & Pacific,Marshall Islands,3788.163594
137.2765915,Europe & Central Asia,North Macedonia,6093.14769
57.18899731,Sub-Saharan Africa,Mali,890.7372855
261.0120836,Middle East & North Africa,Malta,29416.23061
60.68898922,East Asia & Pacific,Myanmar,1407.813143
109.4539028,Europe & Central Asia,Montenegro,8832.036836
125.758871,East Asia & Pacific,Mongolia,4295.235025
108.6923658,East Asia & Pacific,Northern Mariana Islands,23258.67586
112.1514172,Sub-Saharan Africa,Mozambique,491.8047231
94.2184136,Sub-Saharan Africa,Mauritania,1677.919253
92.8089776,Sub-Saharan Africa,Mauritius,11203.54058
66.60450958,Sub-Saharan Africa,Malawi,411.5523404
123.0909506,East Asia & Pacific,Malaysia,11414.83766
83.4755647,Sub-Saharan Africa,Namibia,4957.458006
46.07417139,East Asia & Pacific,New Caledonia,12579.59511
39.71295599,Sub-Saharan Africa,Niger,554.6009687
33.00783349,Sub-Saharan Africa,Nigeria,2229.858696
95.07564249,Latin America & Caribbean,Nicaragua,1912.903745
154.322327,Europe & Central Asia,Netherlands,52447.83144
72.14649965,Europe & Central Asia,Norway,75419.63487
54.92592114,South Asia,Nepal,1071.050761
99.21355112,East Asia & Pacific,Nauru,9396.981967
55.94194989,East Asia & Pacific,New Zealand,42084.35337
100.6861486,Middle East & North Africa,Oman,15474.03248
30.43820826,South Asia,Pakistan,1284.702041
89.39215271,Latin America & Caribbean,Panama,15731.01603
47.12189258,Latin America & Caribbean,Peru,6977.695784
68.60690606,East Asia & Pacific,Philippines,3485.084218
123.2981296,East Asia & Pacific,Palau,15859.43486
131.082911,East Asia & Pacific,Papua New Guinea,2845.180186
106.2424677,Europe & Central Asia,Poland,15595.22703
105.9976292,Latin America & Caribbean,Puerto Rico,32873.71927
87.641209,Europe & Central Asia,Portugal,23145.04082
69.15760135,Latin America & Caribbean,Paraguay,5414.799138
79.60098249,Middle East & North Africa,West Bank and Gaza,3198.866644
29.12537837,East Asia & Pacific,French Polynesia,14323.82082
86.54736253,Middle East & North Africa,Qatar,64781.7332
84.55986923,Europe & Central Asia,Romania,12919.52964
49.07406987,Europe & Central Asia,Russian Federation,11584.99538
53.66138286,Sub-Saharan Africa,Rwanda,801.656187
62.16307122,Middle East & North Africa,Saudi Arabia,23139.79866
26.72186292,Sub-Saharan Africa,Sudan,441.5056034
60.50640246,Sub-Saharan Africa,Senegal,1446.830965
319.1483816,East Asia & Pacific,Singapore,65233.28244
98.39379171,East Asia & Pacific,Solomon Islands,2127.538508
56.69583064,Sub-Saharan Africa,Sierra Leone,504.4625434
77.17887668,Latin America & Caribbean,El Salvador,4187.250031
268.8072681,Europe & Central Asia,San Marino,48481.0133
47.52815201,Sub-Saharan Africa,Somalia,126.9249205
112.6441269,Europe & Central Asia,Serbia,7402.354559
65.55134918,Sub-Saharan Africa,South Sudan,1119.651333
90.96139415,Latin America & Caribbean,Suriname,6854.906561
185.2499461,Europe & Central Asia,Slovak Republic,19329.0968
159.7361203,Europe & Central Asia,Slovenia,25739.24781
90.48590435,Europe & Central Asia,Sweden,51610.06606
84.41334136,Sub-Saharan Africa,Eswatini,3837.026994
193.4865267,Latin America & Caribbean,Sint Maarten (Dutch part),#N/A
155.2458684,Sub-Saharan Africa,Seychelles,17401.72151
76.47647598,Middle East & North Africa,Syrian Arab Republic,2032.623489
74.57052556,Sub-Saharan Africa,Chad,709.5403101
71.24105441,Sub-Saharan Africa,Togo,675.5422133
110.2991956,East Asia & Pacific,Thailand,7808.192916
56.64274416,Europe & Central Asia,Tajikistan,870.7875893
35.1633909,Europe & Central Asia,Turkmenistan,6966.635411
63.00654424,East Asia & Pacific,Timor-Leste,1294.188934
98.22010474,East Asia & Pacific,Tonga,4364.015561
110.5351873,Middle East & North Africa,Tunisia,3317.541013
61.39449997,Europe & Central Asia,Turkey,9042.492983
32.23894101,Sub-Saharan Africa,Tanzania,1122.12181
46.0188627,Sub-Saharan Africa,Uganda,776.7685759
90.17379013,Europe & Central Asia,Ukraine,3659.031312
41.03010203,Latin America & Caribbean,Uruguay,16190.12696
26.38872679,North America,United States,65118.35833
73.0168778,Europe & Central Asia,Uzbekistan,1724.841134
85.20300173,Latin America & Caribbean,St. Vincent and the Grenadines,7463.537831
48.09081353,Latin America & Caribbean,"Venezuela, RB",16054.49051
151.076524,Latin America & Caribbean,Virgin Islands (U.S.),35938.02439
210.4002453,East Asia & Pacific,Vietnam,2715.276036
97.94713623,East Asia & Pacific,Vanuatu,3058.065675
91.12301141,East Asia & Pacific,Samoa,4315.920675
83.82676987,Europe & Central Asia,Kosovo,4417.50994
59.20453606,Sub-Saharan Africa,South Africa,6001.400814
70.03503475,Sub-Saharan Africa,Zambia,1291.343357
50.00536144,Sub-Saharan Africa,Zimbabwe,1463.98591
