Country,Indicator,Place
Afghanistan,Exports,Other
Albania,Exports,European Union
Algeria,Exports,European Union
Andorra,Exports,European Union
Angola,Exports,China
Antigua and Barbuda,Exports,United States
Argentina,Exports,Brazil
Armenia,Exports,European Union
Australia,Exports,China
Austria,Exports,European Union
Azerbaijan,Exports,European Union
Bahamas,Exports,United States
Bahrain,Exports,Other
Bangladesh,Exports,European Union
Barbados,Exports,United States
Belarus,Exports,Russia
Belgium,Exports,European Union
Belize,Exports,European Union
Benin,Exports,India
Bhutan,Exports,India
Bolivia,Exports,Brazil
Bosnia and Herz.,Exports,European Union
Botswana,Exports,European Union
Brazil,Exports,China
Brunei,Exports,Other
Bulgaria,Exports,European Union
Burkina Faso,Exports,Other
Burundi,Exports,Other
Cambodia,Exports,European Union
Cameroon,Exports,European Union
Canada,Exports,United States
Côte d'Ivoire,Exports,European Union
Central African Rep.,Exports,European Union
Chad,Exports,United States
Chile,Exports,China
China,Exports,United States
Colombia,Exports,United States
Comoros,Exports,European Union
Costa Rica,Exports,United States
Croatia,Exports,European Union
Cuba,Exports,Russia
Cyprus,Exports,European Union
Czechia,Exports,European Union
Dem. Rep. Congo,Exports,China
Denmark,Exports,European Union
Djibouti,Exports,Other
Dominica,Exports,Other
Dominican Rep.,Exports,United States
Ecuador,Exports,United States
Egypt,Exports,European Union
El Salvador,Exports,United States
Eq. Guinea,Exports,European Union
Eritrea,Exports,China
Estonia,Exports,European Union
Ethiopia,Exports,European Union
Fiji,Exports,United States
Finland,Exports,European Union
France,Exports,European Union
Gabon,Exports,United States
Georgia,Exports,European Union
Germany,Exports,European Union
Ghana,Exports,European Union
Greece,Exports,European Union
Greenalnd,Exports,European Union
Grenada,Exports,Other
Guatemala,Exports,United States
Guinea,Exports,European Union
Guinea-Bissau,Exports,India
Guyana,Exports,Other
Haiti,Exports,United States
Honduras,Exports,United States
Hong Kong,Exports,China
Hungary,Exports,European Union
Iceland,Exports,European Union
India,Exports,European Union
Indonesia,Exports,China
Iran,Exports,China
Iraq,Exports,China
Ireland,Exports,European Union
Israel,Exports,United States
Italy,Exports,European Union
Ivory Coast,Exports,European Union
Jamaica,Exports,United States
