Country,Exports,Imports
Afghanistan,Other,Other
Albania,European Union,European Union
Algeria,European Union,European Union
Andorra,European Union,European Union
Angola,China,European Union
Antigua and Barbuda,United States,United States
Argentina,Brazil,Other
Armenia,European Union,Other
Australia,China,China
Austria,European Union,European Union
Azerbaijan,European Union,European Union
Bahamas,United States,United States
Bahrain,Other,European Union
Bangladesh,European Union,China
Barbados,United States,United States
Belarus,Russia,Other
Belgium,European Union,European Union
Belize,European Union,United States
Benin,India,European Union
Bhutan,India,Other
Bolivia,Brazil,China
Bosnia and Herz.,European Union,European Union
Botswana,European Union,South Africa
Brazil,China,European Union
Brunei,Other,Other
Bulgaria,European Union,European Union
Burkina Faso,Other,European Union
Burundi,Other,European Union
Cambodia,European Union,China
Cameroon,European Union,European Union
Canada,United States,United States
Côte d'Ivoire,European Union,European Union
Central African Rep.,European Union,European Union
Chad,United States,European Union
Chile,China,China
China,United States,European Union
Colombia,United States,United States
Comoros,European Union,European Union
Costa Rica,United States,United States
Croatia,European Union,European Union
Cuba,Russia,China
Cyprus,European Union,European Union
Czechia,European Union,European Union
Dem. Rep. Congo,China,European Union
Denmark,European Union,European Union
Djibouti,Other,European Union
Dominica,Other,United States
Dominican Rep.,United States,United States
Ecuador,United States,United States
Egypt,European Union,European Union
El Salvador,United States,United States
Eq. Guinea,European Union,European Union
Eritrea,China,European Union
Estonia,European Union,European Union
Ethiopia,European Union,China
Fiji,United States,Other
Finland,European Union,European Union
France,European Union,European Union
Gabon,United States,European Union
Georgia,European Union,European Union
Germany,European Union,European Union
Ghana,European Union,European Union
Greece,European Union,European Union
Greenalnd,European Union,European Union
Grenada,Other,United States
Guatemala,United States,United States
Guinea,European Union,European Union
Guinea-Bissau,India,European Union
Guyana,Other,Other
Haiti,United States,United States
Honduras,United States,United States
Hong Kong,China,China
Hungary,European Union,European Union
Iceland,European Union,European Union
India,European Union,China
Indonesia,China,China
Iran,China,Other
Iraq,China,China
Ireland,European Union,European Union
Israel,United States,European Union
Italy,European Union,European Union
Ivory Coast,European Union,European Union
Jamaica,United States,United States
Japan,United States,China
Jordan,United States,European Union
Kazakhstan,European Union,Other
Kenya,European Union,Other
Kiribati,Other,Other
Kosovo,European Union,European Union
Kuwait,Other,European Union
Kyrgyzstan,Other,China
Laos,Other,Other
Latvia,European Union,European Union
Lebanon,Other,European Union
Lesotho,Other,South Africa
Liberia,European Union,Other
Libya,European Union,European Union
Liechtenstein,European Union,European Union
Lithuania,European Union,European Union
Luxembourg,European Union,European Union
 Macau,Other,Other
Madagascar,European Union,China
Malawi,European Union,South Africa
Malaysia,Other,China
Maldives,European Union,Other
Mali,Other,Other
Malta,European Union,European Union
Mauritania,China,European Union
Mauritius,European Union,European Union
Mexico,United States,United States
 Federated States of Micronesia,Other,United States
Moldova,European Union,European Union
Monaco,European Union,European Union
Mongolia,China,China
Montenegro,European Union,European Union
Morocco,European Union,European Union
Mozambique,European Union,South Africa
Myanmar,China,China
Namibia,Other,South Africa
Nepal,India,Other
Netherlands,European Union,European Union
New Zealand,China,China
Nicaragua,United States,United States
Niger,European Union,European Union
Nigeria,European Union,European Union
North Korea,China,China
North Macedonia,European Union,European Union
Norway,European Union,European Union
Oman,China,Other
Pakistan,European Union,China
 State of Palestine,Other,Other
Panama,European Union,United States
Papua New Guinea,Other,Other
Paraguay,Brazil,China
Peru,China,China
Philippines,Other,China
Poland,European Union,European Union
Portugal,European Union,European Union
Qatar,Other,European Union
Congo,China,European Union
Romania,European Union,European Union
Russia,European Union,European Union
Rwanda,Other,China
Saint Kitts and Nevis,United States,United States
Saint Lucia,United States,United States
Saint Vincent and the Grenadines,Other,United States
Samoa,Other,Other
San Marino,European Union,European Union
Sao Tome and Principe,European Union,European Union
Saudi Arabia,China,European Union
Senegal,Other,European Union
Serbia,European Union,European Union
Seychelles,European Union,European Union
Sierra Leone,Other,European Union
Singapore,China,China
Slovakia,European Union,European Union
Slovenia,European Union,European Union
Solomon Islands,China,Other
Somalia,Other,Other
Somaliland,Other,Other
South Africa,European Union,European Union
South Korea,China,China
S. Sudan,Other,Other
Spain,European Union,European Union
Sri Lanka,European Union,China
Sudan,China,China
Suriname,United States,United States
Swaziland,Other,South Africa
Sweden,European Union,European Union
Switzerland,European Union,European Union
Syria,European Union,European Union
Taiwan,China,China
Tajikistan,Other,Other
Tanzania,Other,Other
Thailand,United States,China
The Gambia,Other,European Union
Timor-Leste,Other,Other
Togo,Other,European Union
Tonga,Other,Other
Trinidad and Tobago,United States,United States
Tunisia,European Union,European Union
Turkey,European Union,European Union
Turkmenistan,China,Other
Uganda,European Union,Other
Ukraine,European Union,European Union
United Arab Emirates,European Union,European Union
United Kingdom,European Union,European Union
United States of America,European Union,China
Uruguay,Brazil,China
Uzbekistan,Other,China
Vanuatu,Other,Other
Venezuela,United States,United States
Vietnam,United States,China
Yemen,Other,Other
Zambia,Other,Other
Zimbabwe,Other,South Africa
W. Sahara,Other,South Africa
