Region,Country,GDP per capita,Indicator,Exports
Asia,Afghanistan,502.1154869,Exports,7.75379772
Europe,Albania,5352.857411,Exports,31.51122294
Middle East & North Africa,Algeria,3948.343279,Exports,22.57015127
Latin America & Caribbean,Antigua and Barbuda,17790.30931,Exports,42.38446109
Latin America & Caribbean,Argentina,10006.14897,Exports,17.29021799
Asia,Armenia,4622.733493,Exports,38.52233727
Pacific,Australia,54907.10191,Exports,24.13105483
Europe,Austria,50277.27509,Exports,55.72161256
Asia,Azerbaijan,4793.58702,Exports,49.17961337
Latin America & Caribbean,"Bahamas, The",32933.48601,Exports,36.08032516
Middle East & North Africa,Bahrain,23503.97713,Exports,79.56720683
Asia,Bangladesh,1855.739824,Exports,15.32324744
Latin America & Caribbean,Barbados,18148.24493,Exports,42.00812056
Europe,Belarus,6663.295293,Exports,66.43135329
Europe,Belgium,46116.69923,Exports,81.72912231
Latin America & Caribbean,Belize,4815.163711,Exports,57.70225061
 Africa,Benin,1219.432672,Exports,29.63052719
Asia,Bhutan,3243.231126,Exports,30.82012756
Latin America & Caribbean,Bolivia,3552.068762,Exports,24.96726235
Europe,Bosnia and Herzegovina,6073.265203,Exports,40.15259869
 Africa,Botswana,7961.33814,Exports,33.5876396
Latin America & Caribbean,Brazil,8717.186278,Exports,14.32241885
Asia,Brunei Darussalam,31086.75108,Exports,57.94604046
Europe,Bulgaria,9737.601351,Exports,63.57392913
 Africa,Burkina Faso,774.8396902,Exports,27.73032252
 Africa,Burundi,261.2474725,Exports,9.131191569
 Africa,Cabo Verde,3603.781794,Exports,50.86442617
Asia,Cambodia,1643.121389,Exports,61.09129652
 Africa,Cameroon,1497.909176,Exports,16.55722825
North America,Canada,46194.72523,Exports,31.64447076
 Africa,Central African Republic,467.9074406,Exports,18.65532802
 Africa,Chad,709.5403101,Exports,36.74225344
Latin America & Caribbean,Chile,14896.45387,Exports,28.19988458
Asia,China,10261.67913,Exports,18.41519387
Latin America & Caribbean,Colombia,6432.387583,Exports,15.89406983
 Africa,Comoros,1393.522372,Exports,13.24797641
 Africa,"Congo, Dem. Rep.",545.2162123,Exports,32.06549441
 Africa,"Congo, Rep.",2011.072399,Exports,77.44773364
Latin America & Caribbean,Costa Rica,12238.37496,Exports,33.75304104
 Africa,Cote d'Ivoire,2286.162777,Exports,23.51133843
Europe,Croatia,14853.23984,Exports,51.14520797
Latin America & Caribbean,Cuba,8821.818891,Exports,14.50166462
Europe,Cyprus,27858.371,Exports,71.12506608
Europe,Czech Republic,23101.7777,Exports,75.48569646
Europe,Denmark,59822.09296,Exports,55.86708296
Middle East & North Africa,Djibouti,3408.846254,Exports,154.7132779
Latin America & Caribbean,Dominica,8300.375074,Exports,51.56572153
Latin America & Caribbean,Dominican Republic,8282.116222,Exports,23.67289278
Latin America & Caribbean,Ecuador,6183.823825,Exports,23.39003998
Middle East & North Africa,"Egypt, Arab Rep.",3020.03135,Exports,18.91197548
Latin America & Caribbean,El Salvador,4187.250031,Exports,29.5416732
 Africa,Equatorial Guinea,8131.923888,Exports,55.13387379
 Africa,Eritrea,642.5076591,Exports,18.15483726
Europe,Estonia,23659.87229,Exports,72.57296099
 Africa,Eswatini,3837.026994,Exports,40.50137274
 Africa,Ethiopia,857.501351,Exports,7.916147885
Europe,Finland,48685.85399,Exports,39.97659094
Europe,France,40493.92857,Exports,31.77171366
 Africa,Gabon,7667.366861,Exports,51.37825741
 Africa,"Gambia, The",751.2946884,Exports,21.34115279
Asia,Georgia,4769.186543,Exports,53.99693213
Europe,Germany,46258.87829,Exports,46.96816206
 Africa,Ghana,2202.115567,Exports,35.97678235
Europe,Greece,19582.53601,Exports,37.18748519
Europe,Greenland,54470.95639,Exports,40.830211
Latin America & Caribbean,Grenada,10965.51316,Exports,54.54879888
Latin America & Caribbean,Guatemala,4619.987097,Exports,17.69603088
 Africa,Guinea,1064.131237,Exports,42.27474768
 Africa,Guinea-Bissau,697.7844029,Exports,23.49763888
Latin America & Caribbean,Guyana,5468.356629,Exports,33.01354383
Latin America & Caribbean,Haiti,754.5879177,Exports,16.85129816
Latin America & Caribbean,Honduras,2574.912191,Exports,40.24591477
Asia,"Hong Kong SAR, China",48755.83508,Exports,177.297309
Europe,Hungary,16475.74184,Exports,83.32805976
Europe,Iceland,66944.82551,Exports,45.31997126
Asia,India,2104.1459,Exports,18.6619686
Asia,Indonesia,4135.569263,Exports,18.40751558
Middle East & North Africa,"Iran, Islamic Rep.",5520.310789,Exports,24.94217685
Middle East & North Africa,Iraq,5955.10901,Exports,37.0783753
Europe,Ireland,78660.95646,Exports,126.7954384
Middle East & North Africa,Israel,43641.39774,Exports,29.4460992
Europe,Italy,33189.5658,Exports,31.60569707
Latin America & Caribbean,Jamaica,5582.263778,Exports,37.95785341
Asia,Japan,40246.88013,Exports,18.52490882
Middle East & North Africa,Jordan,4330.329346,Exports,37.23272587
Asia,Kazakhstan,9731.145207,Exports,36.54018002
 Africa,Kenya,1816.546916,Exports,12.03179759
Pacific,Kiribati,1655.078839,Exports,9.63032729
Asia,"Korea, Rep.",31761.97769,Exports,39.82584099
Europe,Kosovo,4417.50994,Exports,27.76710549
Middle East & North Africa,Kuwait,32031.9801,Exports,56.72055732
Asia,Kyrgyz Republic,1309.392992,Exports,37.3851608
Asia,Lao PDR,2534.898277,Exports,33.20942746
Europe,Latvia,17836.36489,Exports,59.90641778
Middle East & North Africa,Lebanon,7784.316857,Exports,21.66337342
 Africa,Lesotho,1157.535164,Exports,43.63178661
 Africa,Liberia,621.8929536,Exports,28.72532815
Middle East & North Africa,Libya,7683.750611,Exports,64.8359037
Europe,Lithuania,19455.45413,Exports,78.08804918
Europe,Luxembourg,114704.5942,Exports,208.7527498
 Africa,Madagascar,522.2198092,Exports,26.46460013
 Africa,Malawi,411.5523404,Exports,31.00801491
Asia,Malaysia,11414.83766,Exports,65.34080416
Asia,Maldives,10790.50024,Exports,66.29588971
 Africa,Mali,890.7372855,Exports,23.01596844
Middle East & North Africa,Malta,29416.23061,Exports,140.6004396
Pacific,Marshall Islands,3788.163594,Exports,40.44717505
 Africa,Mauritania,1677.919253,Exports,41.84427852
 Africa,Mauritius,11203.54058,Exports,39.17480071
Latin America & Caribbean,Mexico,9863.072699,Exports,39.06118749
Europe,Moldova,4498.52085,Exports,30.52041376
Asia,Mongolia,4295.235025,Exports,61.33934743
Europe,Montenegro,8832.036836,Exports,44.0777408
Middle East & North Africa,Morocco,3204.095003,Exports,39.13941976
 Africa,Mozambique,491.8047231,Exports,38.02763213
Asia,Myanmar,1407.813143,Exports,30.38975072
 Africa,Namibia,4957.458006,Exports,35.81001788
Asia,Nepal,1071.050761,Exports,8.668299439
Europe,Netherlands,52447.83144,Exports,82.52375774
Pacific,New Zealand,42084.35337,Exports,27.98112473
Latin America & Caribbean,Nicaragua,1912.903745,Exports,45.1069894
 Africa,Niger,554.6009687,Exports,11.73542198
 Africa,Nigeria,2229.858696,Exports,15.49688918
Europe,North Macedonia,6093.14769,Exports,61.69179049
Europe,Norway,75419.63487,Exports,36.94995718
Middle East & North Africa,Oman,15474.03248,Exports,58.16216216
Asia,Pakistan,1284.702041,Exports,10.11901778
Pacific,Palau,15859.43486,Exports,46.99489322
Latin America & Caribbean,Panama,15731.01603,Exports,42.54347579
Pacific,Papua New Guinea,2845.180186,Exports,72.1640496
Latin America & Caribbean,Paraguay,5414.799138,Exports,34.67342737
Latin America & Caribbean,Peru,6977.695784,Exports,24.18513724
Asia,Philippines,3485.084218,Exports,28.33998584
Europe,Poland,15595.22703,Exports,55.75024323
Europe,Portugal,23145.04082,Exports,43.84798637
Middle East & North Africa,Qatar,64781.7332,Exports,50.15385952
Europe,Romania,12919.52964,Exports,40.35126522
Europe,Russia,11584.99538,Exports,28.31304335
 Africa,Rwanda,801.656187,Exports,19.02497413
Pacific,Samoa,4315.920675,Exports,37.98789166
Latin America & Caribbean,St. Kitts and Nevis,19896.4957,Exports,63.67877985
Latin America & Caribbean,St. Vincent and the Grenadines,7463.537831,Exports,27.17433135
Middle East & North Africa,Saudi Arabia,23139.79866,Exports,36.03075974
 Africa,Senegal,1446.830965,Exports,22.79262606
Europe,Serbia,7402.354559,Exports,51.9468186
 Africa,Seychelles,17401.72151,Exports,68.89336367
 Africa,Sierra Leone,504.4625434,Exports,17.46729933
Asia,Singapore,65233.28244,Exports,173.5172668
Europe,Slovak Republic,19329.0968,Exports,93.14276433
Europe,Slovenia,25739.24781,Exports,84.43691396
