Continent,Year,Intra-Group,World
Africa,1995,12968.80003,98187.77966
Africa,1996,14162.61435,110875.5039
Africa,1997,14194.84844,112906.1262
Africa,1998,12544.89275,91831.5726
Africa,1999,13103.12291,103238.7372
Africa,2000,13858.81902,129367.4235
Africa,2001,13891.36324,121181.3939
Africa,2002,15710.04876,122156.5459
Africa,2003,18223.521,156620.3103
Africa,2004,23571.12394,210033.7475
Africa,2005,28824.01004,272084.3586
Africa,2006,33660.87928,327980.8852
Africa,2007,42629.84206,386249.7377
Africa,2008,55159.79829,495095.7034
Africa,2009,51250.01807,334658.831
Africa,2010,70926.82704,444429.187
Africa,2011,82319.28194,536535.7851
Africa,2012,85233.28596,552104.1796
Africa,2013,85050.978,502910.3434
Africa,2014,86625.42438,471565.0302
Africa,2015,70395.7684,322564.1434
Africa,2016,63108.53934,290777.0563
Africa,2017,66231.19193,360190.4318
Africa,2018,76914.79752,412169.1069
Africa,2019,74614.9334,391855.9685
Asia,1995,822319.4782,736478.9391
Asia,1996,861356.0606,739270.4204
Asia,1997,893330.6507,797488.0592
Asia,1998,734847.8864,820892.909
Asia,1999,828168.4973,864257.2229
Asia,2000,1065430.392,993879.8574
Asia,2001,974266.0723,900687.3449
Asia,2002,1083956.876,940978.47
Asia,2003,1336687.988,1080848.559
Asia,2004,1696070.702,1337403.528
Asia,2005,2006829.503,1574849.334
Asia,2006,2375086.538,1855183.784
Asia,2007,2782499.135,2140057.523
Asia,2008,3320762.761,2455859.57
Asia,2009,2699621.431,1903138.399
Asia,2010,3533576.295,2392675.723
Asia,2011,4359534.592,2860574.418
Asia,2012,4590061.311,2885341.557
Asia,2013,4769218.558,2897246.518
Asia,2014,4723824.345,2973311.038
Asia,2015,4105966.246,2746710.492
Asia,2016,3880395.955,2674233.111
Asia,2017,4350227.158,2923210.515
Asia,2018,4771124.837,3199717.301
Asia,2019,4584748.696,3115265.422
Europe,1995,1607996.074,765030.1509
Europe,1996,1669647.473,795667.0762
Europe,1997,1672750.72,805505.2255
Europe,1998,1759426.15,792345.4809
Europe,1999,1864555.102,672328.782
Europe,2000,1949472.089,723443.7302
Europe,2001,1967314.659,733505.8493
Europe,2002,2106829.197,782712.473
Europe,2003,2544858.847,889261.1838
Europe,2004,3103115.874,1079235.993
Europe,2005,3405616.719,1185912.608
Europe,2006,3920121.693,1330904.366
Europe,2007,4549096.744,1563030.73
Europe,2008,5140110.052,1775132.434
Europe,2009,3832800.933,1432198.698
Europe,2010,4256981.819,1741707.236
Europe,2011,5037076.384,2105405.173
Europe,2012,4763563.276,2177288.649
Europe,2013,4946072.82,2335742.441
Europe,2014,4922530.714,2294543.534
Europe,2015,4160356.467,2048138.337
Europe,2016,4205313.773,1937172.326
Europe,2017,4633932.541,2127926.385
Europe,2018,5130010.358,2349309.17
Europe,2019,4939438.167,2294913.39
Oceania,1995,9279.679438,63065.32245
Oceania,1996,10729.63922,69623.43999
Oceania,1997,10413.24535,72112.77984
Oceania,1998,8294.070737,64827.72463
