Continent,Year,Value
Oceania,1995,72345.00189
Oceania,1996,80353.07921
Oceania,1997,82526.02519
Oceania,1998,73121.79536
Oceania,1999,72457.87626
Oceania,2000,82766.75803
Oceania,2001,82007.98931
Oceania,2002,84202.71914
Oceania,2003,92774.77854
Oceania,2004,113612.2095
Oceania,2005,134573.5056
Oceania,2006,153544.9872
Oceania,2007,177028.0581
Oceania,2008,226674.2451
Oceania,2009,185911.2346
Oceania,2010,252575.1374
Oceania,2011,317989.4137
Oceania,2012,303883.7697
Oceania,2013,301262.7436
Oceania,2014,295135.0152
Oceania,2015,233921.5919
Oceania,2016,235125.9328
Oceania,2017,282067.4495
Oceania,2018,307638.8463
Oceania,2019,321292.9485
Africa,1995,111156.5797
Africa,1996,125038.1182
Africa,1997,127100.9746
Africa,1998,104376.4654
Africa,1999,116341.8601
Africa,2000,143226.2425
Africa,2001,135072.7571
Africa,2002,137866.5947
Africa,2003,174843.8313
Africa,2004,233604.8714
Africa,2005,300908.3686
Africa,2006,361641.7644
Africa,2007,428879.5798
Africa,2008,550255.5017
Africa,2009,385908.849
Africa,2010,515356.014
Africa,2011,618855.067
Africa,2012,637337.4655
Africa,2013,587961.3214
Africa,2014,558190.4546
Africa,2015,392959.9118
Africa,2016,353885.5956
Africa,2017,426421.6238
Africa,2018,489083.9044
Africa,2019,466470.9019
Europe,1995,2373026.225
Europe,1996,2465314.55
Europe,1997,2478255.946
Europe,1998,2551771.631
Europe,1999,2536883.884
Europe,2000,2672915.82
Europe,2001,2700820.509
Europe,2002,2889541.67
Europe,2003,3434120.031
Europe,2004,4182351.867
Europe,2005,4591529.327
Europe,2006,5251026.058
Europe,2007,6112127.474
Europe,2008,6915242.486
Europe,2009,5264999.631
Europe,2010,5998689.055
Europe,2011,7142481.557
Europe,2012,6940851.925
Europe,2013,7281815.261
Europe,2014,7217074.247
Europe,2015,6208494.804
Europe,2016,6142486.099
Europe,2017,6761858.926
Europe,2018,7479319.528
Europe,2019,7234351.557
Asia,1995,1558798.417
Asia,1996,1600626.481
Asia,1997,1690818.71
Asia,1998,1555740.795
Asia,1999,1692425.72
Asia,2000,2059310.249
Asia,2001,1874953.417
Asia,2002,2024935.346
Asia,2003,2417536.547
Asia,2004,3033474.23
Asia,2005,3581678.836
Asia,2006,4230270.322
Asia,2007,4922556.658
Asia,2008,5776622.331
Asia,2009,4602759.83
Asia,2010,5926252.018
Asia,2011,7220109.01
Asia,2012,7475402.868
Asia,2013,7666465.076
Asia,2014,7697135.384
Asia,2015,6852676.737
Asia,2016,6554629.066
Asia,2017,7273437.673
Asia,2018,7970842.138
Asia,2019,7700014.119
North America,1995,774512.0003
North America,1996,825486.9031
North America,1997,903917.0877
North America,1998,895345.6727
North America,1999,931906.4496
North America,2000,1059575.917
North America,2001,990447.934
North America,2002,946014.2957
North America,2003,997373.4382
North America,2004,1132451.42
North America,2005,1262051.69
North America,2006,1425651.223
North America,2007,1582885.028
North America,2008,1756054.975
North America,2009,1372295.924
North America,2010,1665088.056
North America,2011,1932621.873
North America,2012,1999521.281
North America,2013,2034742.002
North America,2014,2095500.597
North America,2015,1910972.268
North America,2016,1840356.605
North America,2017,1966502.366
North America,2018,2116351.098
North America,2019,2091307.065
Latin America,1995,231385.6627
Latin America,1996,258639.7616
Latin America,1997,287320.9239
Latin America,1998,282724.0125
Latin America,1999,302090.5364
Latin America,2000,363285.9187
Latin America,2001,351756.6004
Latin America,2002,353203.3572
Latin America,2003,387974.7961
Latin America,2004,481801.7429
Latin America,2005,585951.2444
Latin America,2006,696949.6723
Latin America,2007,784028.5992
Latin America,2008,909820.6466
Latin America,2009,703964.2263
Latin America,2010,892922.8543
Latin America,2011,1107203.146
Latin America,2012,1118290.615
Latin America,2013,1116720.85
Latin America,2014,1081549.653
Latin America,2015,921286.3764
Latin America,2016,888028.8918
Latin America,2017,994348.1784
Latin America,2018,1084092.982
Latin America,2019,1067771.599
