Continent,Year,Intra-Group,World
Africa,1995,Extra,98187.77966
Africa,1996,Extra,110875.5039
Africa,1997,Extra,112906.1262
Africa,1998,Extra,91831.5726
Africa,1999,Extra,103238.7372
Africa,2000,Extra,129367.4235
Africa,2001,Extra,121181.3939
Africa,2002,Extra,122156.5459
Africa,2003,Extra,156620.3103
Africa,2004,Extra,210033.7475
Africa,2005,Extra,272084.3586
Africa,2006,Extra,327980.8852
Africa,2007,Extra,386249.7377
Africa,2008,Extra,495095.7034
Africa,2009,Extra,334658.831
Africa,2010,Extra,444429.187
Africa,2011,Extra,536535.7851
Africa,2012,Extra,552104.1796
Africa,2013,Extra,502910.3434
Africa,2014,Extra,471565.0302
Africa,2015,Extra,322564.1434
Africa,2016,Extra,290777.0563
Africa,2017,Extra,360190.4318
Africa,2018,Extra,412169.1069
Africa,2019,Extra,391855.9685
Africa,1995,Intra,12968.80003
Africa,1996,Intra,14162.61435
Africa,1997,Intra,14194.84844
Africa,1998,Intra,12544.89275
Africa,1999,Intra,13103.12291
Africa,2000,Intra,13858.81902
Africa,2001,Intra,13891.36324
Africa,2002,Intra,15710.04876
Africa,2003,Intra,18223.521
Africa,2004,Intra,23571.12394
Africa,2005,Intra,28824.01004
Africa,2006,Intra,33660.87928
Africa,2007,Intra,42629.84206
Africa,2008,Intra,55159.79829
Africa,2009,Intra,51250.01807
Africa,2010,Intra,70926.82704
Africa,2011,Intra,82319.28194
Africa,2012,Intra,85233.28596
Africa,2013,Intra,85050.978
Africa,2014,Intra,86625.42438
Africa,2015,Intra,70395.7684
Africa,2016,Intra,63108.53934
Africa,2017,Intra,66231.19193
Africa,2018,Intra,76914.79752
Africa,2019,Intra,74614.9334
Asia,1995,Extra,736478.9391
Asia,1996,Extra,739270.4204
Asia,1997,Extra,797488.0592
Asia,1998,Extra,820892.909
Asia,1999,Extra,864257.2229
Asia,2000,Extra,993879.8574
Asia,2001,Extra,900687.3449
Asia,2002,Extra,940978.47
Asia,2003,Extra,1080848.559
Asia,2004,Extra,1337403.528
Asia,2005,Extra,1574849.334
Asia,2006,Extra,1855183.784
Asia,2007,Extra,2140057.523
Asia,2008,Extra,2455859.57
Asia,2009,Extra,1903138.399
Asia,2010,Extra,2392675.723
Asia,2011,Extra,2860574.418
Asia,2012,Extra,2885341.557
Asia,2013,Extra,2897246.518
Asia,2014,Extra,2973311.038
Asia,2015,Extra,2746710.492
Asia,2016,Extra,2674233.111
Asia,2017,Extra,2923210.515
Asia,2018,Extra,3199717.301
Asia,2019,Extra,3115265.422
Asia,1995,Intra,822319.4782
Asia,1996,Intra,861356.0606
Asia,1997,Intra,893330.6507
Asia,1998,Intra,734847.8864
Asia,1999,Intra,828168.4973
Asia,2000,Intra,1065430.392
Asia,2001,Intra,974266.0723
Asia,2002,Intra,1083956.876
Asia,2003,Intra,1336687.988
Asia,2004,Intra,1696070.702
Asia,2005,Intra,2006829.503
Asia,2006,Intra,2375086.538
Asia,2007,Intra,2782499.135
Asia,2008,Intra,3320762.761
Asia,2009,Intra,2699621.431
Asia,2010,Intra,3533576.295
Asia,2011,Intra,4359534.592
Asia,2012,Intra,4590061.311
Asia,2013,Intra,4769218.558
Asia,2014,Intra,4723824.345
Asia,2015,Intra,4105966.246
Asia,2016,Intra,3880395.955
Asia,2017,Intra,4350227.158
Asia,2018,Intra,4771124.837
Asia,2019,Intra,4584748.696
Europe,1995,Extra,765030.1509
Europe,1996,Extra,795667.0762
Europe,1997,Extra,805505.2255
Europe,1998,Extra,792345.4809
Europe,1999,Extra,672328.782
Europe,2000,Extra,723443.7302
Europe,2001,Extra,733505.8493
Europe,2002,Extra,782712.473
Europe,2003,Extra,889261.1838
Europe,2004,Extra,1079235.993
Europe,2005,Extra,1185912.608
Europe,2006,Extra,1330904.366
Europe,2007,Extra,1563030.73
Europe,2008,Extra,1775132.434
Europe,2009,Extra,1432198.698
Europe,2010,Extra,1741707.236
Europe,2011,Extra,2105405.173
Europe,2012,Extra,2177288.649
Europe,2013,Extra,2335742.441
Europe,2014,Extra,2294543.534
Europe,2015,Extra,2048138.337
Europe,2016,Extra,1937172.326
Europe,2017,Extra,2127926.385
Europe,2018,Extra,2349309.17
Europe,2019,Extra,2294913.39
Europe,1995,Intra,1607996.074
Europe,1996,Intra,1669647.473
Europe,1997,Intra,1672750.72
Europe,1998,Intra,1759426.15
Europe,1999,Intra,1864555.102
Europe,2000,Intra,1949472.089
Europe,2001,Intra,1967314.659
Europe,2002,Intra,2106829.197
Europe,2003,Intra,2544858.847
Europe,2004,Intra,3103115.874
Europe,2005,Intra,3405616.719
Europe,2006,Intra,3920121.693
Europe,2007,Intra,4549096.744
Europe,2008,Intra,5140110.052
Europe,2009,Intra,3832800.933
Europe,2010,Intra,4256981.819
Europe,2011,Intra,5037076.384
Europe,2012,Intra,4763563.276
Europe,2013,Intra,4946072.82
Europe,2014,Intra,4922530.714
Europe,2015,Intra,4160356.467
Europe,2016,Intra,4205313.773
Europe,2017,Intra,4633932.541
Europe,2018,Intra,5130010.358
Europe,2019,Intra,4939438.167
Oceania,1995,Intra,9279.679438
Oceania,1996,Intra,10729.63922
Oceania,1997,Intra,10413.24535
Oceania,1998,Intra,8294.070737
Oceania,1999,Intra,9465.323146
Oceania,2000,Intra,9440.885821
Oceania,2001,Intra,8933.917602
Oceania,2002,Intra,10033.14617
Oceania,2003,Intra,12241.70944
Oceania,2004,Intra,14534.87924
Oceania,2005,Intra,16075.11255
Oceania,2006,Intra,16319.24392
Oceania,2007,Intra,19602.66573
Oceania,2008,Intra,20976.00733
Oceania,2009,Intra,17315.0445
Oceania,2010,Intra,21517.14111
Oceania,2011,Intra,24950.69919
Oceania,2012,Intra,24250.60739
Oceania,2013,Intra,22012.19793
Oceania,2014,Intra,22708.83951
Oceania,2015,Intra,18393.34963
Oceania,2016,Intra,18745.57802
Oceania,2017,Intra,19874.10824
