Region,Country,Indicator,Value,gdp_per_capita
Asia,Afghanistan,exports_per_capita,26.97263326,502.1154869
Europe,Albania,exports_per_capita,943.7079822,5352.857411
Middle East & North Africa,Algeria,exports_per_capita,823.0020704,3948.343279
Pacific,Andorra,exports_per_capita,1837.830842,11466.69071
 Africa,Angola,exports_per_capita,1050.821949,2973.59116
Latin America & Caribbean,Antigua and Barbuda,exports_per_capita,459.5165885,17790.30931
Latin America & Caribbean,Argentina,exports_per_capita,1440.754173,10006.14897
Asia,Armenia,exports_per_capita,891.0170378,4622.733493
Latin America & Caribbean,Australia,exports_per_capita,10650.7112,54907.10191
Pacific,Austria,exports_per_capita,19877.09182,50277.27509
Europe,Azerbaijan,exports_per_capita,1972.546687,4793.58702
Asia,Bahamas,exports_per_capita,2097.934107,32933.48601
Middle East & North Africa,Bahrain,exports_per_capita,10508.73455,23503.97713
Asia,Bangladesh,exports_per_capita,230.3925081,1855.739824
Latin America & Caribbean,Barbados,exports_per_capita,1580.165289,18148.24493
Europe,Belarus,exports_per_capita,3484.905744,6663.295293
Europe,Belgium,exports_per_capita,38358.73695,46116.69923
Latin America & Caribbean,Belize,exports_per_capita,1156.860181,4815.163711
 Africa,Benin,exports_per_capita,195.2537284,1219.432672
Asia,Bhutan,exports_per_capita,764.6369659,3243.231126
Latin America & Caribbean,Bolivia,exports_per_capita,750.1657026,3552.068762
Europe,Bosnia and Herz.,exports_per_capita,2005.01765,6073.265203
 Africa,Botswana,exports_per_capita,2136.223134,7961.33814
Latin America & Caribbean,Brazil,exports_per_capita,1047.443596,8717.186278
Asia,Brunei,exports_per_capita,14834.99779,31086.75108
Europe,Bulgaria,exports_per_capita,4792.870923,9737.601351
 Africa,Burkina Faso,exports_per_capita,163.3093535,774.8396902
 Africa,Burundi,exports_per_capita,15.30597141,261.2474725
Asia,Cambodia,exports_per_capita,842.7555175,1643.121389
 Africa,Cameroon,exports_per_capita,167.4234513,1497.909176
North America,Canada,exports_per_capita,11841.77776,46194.72523
 Africa,Cape Verde,exports_per_capita,110.9738177,3603.781794
 Africa,Central African Rep.,exports_per_capita,37.35169833,467.9074406
 Africa,Chad,exports_per_capita,143.6758517,709.5403101
Latin America & Caribbean,Chile,exports_per_capita,3645.175106,14896.45387
Asia,China,exports_per_capita,1736.25208,10261.67913
Latin America & Caribbean,Colombia,exports_per_capita,775.5141114,6432.387583
 Africa,Comoros,exports_per_capita,60.2575204,1393.522372
 Africa,Congo,exports_per_capita,1301.809848,2011.072399
Latin America & Caribbean,Costa Rica,exports_per_capita,2316.985983,12238.37496
 Africa,Côte d'Ivoire,exports_per_capita,482.3818268,2286.162777
Europe,Croatia,exports_per_capita,4233.878089,14853.23984
Latin America & Caribbean,Cuba,exports_per_capita,216.3046756,8821.818891
Europe,Cyprus,exports_per_capita,2866.007542,27858.371
 Africa,Czechia,exports_per_capita,18536.85239,23101.7777
Europe,Dem. Rep. Congo,exports_per_capita,75.92668016,545.2162123
Europe,Denmark,exports_per_capita,19111.74714,59822.09296
Middle East & North Africa,Djibouti,exports_per_capita,186.7408907,3408.846254
Latin America & Caribbean,Dominica,exports_per_capita,277.8318006,8300.375074
Latin America & Caribbean,Dominican Rep.,exports_per_capita,1047.19711,8282.116222
Latin America & Caribbean,Ecuador,exports_per_capita,1265.619886,6183.823825
Middle East & North Africa,Egypt,exports_per_capita,283.316254,3020.03135
Latin America & Caribbean,El Salvador,exports_per_capita,916.2985135,4187.250031
 Africa,Eq. Guinea,exports_per_capita,3706.383176,8131.923888
 Africa,Eritrea,exports_per_capita,209.9017573,642.5076591
Europe,Estonia,exports_per_capita,12154.74903,23659.87229
 Africa,Ethiopia,exports_per_capita,2390.696488,857.501351
Europe,Fiji,exports_per_capita,1104.362231,"6,266.97"
Europe,Finland,exports_per_capita,13235.33765,48685.85399
Pacific,France,exports_per_capita,8728.37375,40493.92857
 Africa,Gabon,exports_per_capita,3287.993983,7667.366861
Asia,Georgia,exports_per_capita,943.9063343,4769.186543
Europe,Germany,exports_per_capita,17773.7925,46258.87829
 Africa,Ghana,exports_per_capita,500.5738112,2202.115567
Europe,Greece,exports_per_capita,3633.70467,19582.53601
Europe,Greenland,exports_per_capita,11289.41342,54470.95639
Latin America & Caribbean,Grenada,exports_per_capita,284.3863032,10965.51316
Latin America & Caribbean,Guatemala,exports_per_capita,624.5462047,4619.987097
 Africa,Guinea,exports_per_capita,254.0967098,1064.131237
 Africa,Guinea-Bissau,exports_per_capita,155.5893518,697.7844029
Latin America & Caribbean,Guyana,exports_per_capita,2046.908532,5468.356629
Latin America & Caribbean,Haiti,exports_per_capita,105.2573605,754.5879177
Latin America & Caribbean,Honduras,exports_per_capita,878.8435523,2574.912191
Asia,Hong Kong,exports_per_capita,71347.02622,48755.83508
Europe,Hungary,exports_per_capita,12796.20171,16475.74184
Europe,Iceland,exports_per_capita,15309.91112,66944.82551
Asia,India,exports_per_capita,234.8998333,2104.1459
Asia,Indonesia,exports_per_capita,612.3676012,4135.569263
Middle East & North Africa,Iran,exports_per_capita,656.0074465,5520.310789
Middle East & North Africa,Iraq,exports_per_capita,2224.891928,5955.10901
Europe,Ireland,exports_per_capita,34383.70962,78660.95646
Middle East & North Africa,Israel,exports_per_capita,6752.696396,43641.39774
Europe,Italy,exports_per_capita,8809.909248,33189.5658
Latin America & Caribbean,Jamaica,exports_per_capita,557.2127475,5582.263778
Asia,Japan,exports_per_capita,5578.336826,40246.88013
Middle East & North Africa,Jordan,exports_per_capita,814.7398633,4330.329346
Asia,Kazakhstan,exports_per_capita,3052.121972,9731.145207
 Africa,Kenya,exports_per_capita,108.304996,1816.546916
Pacific,Kiribati,exports_per_capita,50.23064237,1655.078839
Europe,Kosovo,exports_per_capita,1215.469613,4417.50994
Middle East & North Africa,Kuwait,exports_per_capita,15191.52825,32031.9801
Asia,Kyrgyzstan,exports_per_capita,301.263221,1309.392992
Asia,Laos,exports_per_capita,808.1852119,2534.898277
Europe,Latvia,exports_per_capita,8211.757196,17836.36489
Middle East & North Africa,Lebanon,exports_per_capita,707.5143086,7784.316857
 Africa,Lesotho,exports_per_capita,467.499343,1157.535164
 Africa,Liberia,exports_per_capita,104.4549864,621.8929536
Middle East & North Africa,Libya,exports_per_capita,3556.958429,7683.750611
Europe,Liechtenstein,exports_per_capita,98615.19094,"165,028.25"
Europe,Lithuania,exports_per_capita,12167.73825,19455.45413
Europe,Luxembourg,exports_per_capita,26371.85332,114704.5942
 Africa,Madagascar,exports_per_capita,95.34860726,522.2198092
 Africa,Malawi,exports_per_capita,44.92431554,411.5523404
Asia,Malaysia,exports_per_capita,7359.426786,11414.83766
Asia,Maldives,exports_per_capita,647.495856,10790.50024
 Africa,Mali,exports_per_capita,166.2548894,890.7372855
Middle East & North Africa,Malta,exports_per_capita,6810.208745,29416.23061
Pacific,Marshall Islands,exports_per_capita,929.2110154,3788.163594
 Africa,Mauritania,exports_per_capita,527.9743155,1677.919253
 Africa,Mauritius,exports_per_capita,1753.62173,11203.54058
Latin America & Caribbean,Mexico,exports_per_capita,3576.403895,9863.072699
Europe,Moldova,exports_per_capita,688.9502953,4498.52085
Asia,Mongolia,exports_per_capita,2324.321521,4295.235025
Europe,Montenegro,exports_per_capita,667.6049969,8832.036836
Middle East & North Africa,Morocco,exports_per_capita,779.7145316,3204.095003
 Africa,Mozambique,exports_per_capita,145.5650833,491.8047231
Asia,Myanmar,exports_per_capita,320.5304927,1407.813143
 Africa,Namibia,exports_per_capita,2001.019322,4957.458006
Asia,Nepal,exports_per_capita,30.88876448,1071.050761
Europe,Netherlands,exports_per_capita,41391.00076,52447.83144
Pacific,New Zealand,exports_per_capita,8196.057718,42084.35337
Latin America & Caribbean,Nicaragua,exports_per_capita,1018.93652,1912.903745
 Africa,Niger,exports_per_capita,52.23359339,554.6009687
 Africa,Nigeria,exports_per_capita,299.2622635,2229.858696
Europe,North Macedonia,exports_per_capita,3450.604644,6093.14769
Europe,Norway,exports_per_capita,18941.16126,75419.63487
Middle East & North Africa,Oman,exports_per_capita,8137.760627,15474.03248
Asia,Pakistan,exports_per_capita,105.7166582,1284.702041
Pacific,Palau,exports_per_capita,386.8685752,15859.43486
Latin America & Caribbean,Panama,exports_per_capita,2639.771742,15731.01603
Pacific,Papua New Guinea,exports_per_capita,1190.339939,2845.180186
Latin America & Caribbean,Paraguay,exports_per_capita,1072.829896,5414.799138
Latin America & Caribbean,Peru,exports_per_capita,1446.38515,6977.695784
Asia,Philippines,exports_per_capita,641.8443885,3485.084218
Europe,Poland,exports_per_capita,6975.868989,15595.22703
Europe,Portugal,exports_per_capita,6576.602314,23145.04082
Middle East & North Africa,Qatar,exports_per_capita,25213.07314,64781.7332
Europe,Romania,exports_per_capita,3995.952529,12919.52964
Europe,Russia,exports_per_capita,2869.753958,11584.99538
 Africa,Rwanda,exports_per_capita,89.99230865,801.656187
 Africa,S. Sudan,exports_per_capita,152.7641603,1119.651333
Latin America & Caribbean,Saint Kitts and Nevis,exports_per_capita,1221.827478,19896.4957
Latin America & Caribbean,Saint Vincent and the Grenadines,exports_per_capita,378.5830178,7463.537831
Middle East & North Africa,Saudi Arabia,exports_per_capita,7715.0283,23139.79866
 Africa,Senegal,exports_per_capita,249.3142738,1446.830965
Europe,Serbia,exports_per_capita,1945.173211,7402.354559
 Africa,Seychelles,exports_per_capita,5030.148352,17401.72151
 Africa,Sierra Leone,exports_per_capita,61.10079462,504.4625434
Asia,Singapore,exports_per_capita,66793.27465,65233.28244
Europe,Slovakia,exports_per_capita,16426.40671,19329.0968
Europe,Slovenia,exports_per_capita,21581.45168,25739.24781
Pacific,Solomon Islands,exports_per_capita,669.6909522,2127.538508
 Africa,Somalia,exports_per_capita,12.29454921,126.9249205
 Africa,South Africa,exports_per_capita,1517.747231,31761.97769
Asia,South Korea,exports_per_capita,10576.18919,6001.400814
Europe,Spain,exports_per_capita,7135.578742,29613.67114
Asia,Sri Lanka,exports_per_capita,559.1491511,3853.083693
 Africa,Sudan,exports_per_capita,55.87779589,441.5056034
Latin America & Caribbean,Suriname,exports_per_capita,3869.546837,6854.906561
 Africa,Swaziland,exports_per_capita,1799.735915,3837.026994
Europe,Sweden,exports_per_capita,15896.49346,51610.06606
Europe,Switzerland,exports_per_capita,36265.68555,81993.72715
Middle East & North Africa,Syria,exports_per_capita,119.9954882,2032.623489
Asia,Taiwan,exports_per_capita,13881.88367,26910
Asia,Tajikistan,exports_per_capita,110.0900694,870.7875893
 Africa,Tanzania,exports_per_capita,84.51437332,1122.12181
Asia,Thailand,exports_per_capita,3527.859278,7808.192916
 Africa,The Gambia,exports_per_capita,46.055147,751.2946884
Asia,Timor-Leste,exports_per_capita,116.5767249,1294.188934
 Africa,Togo,exports_per_capita,133.1847758,675.5422133
Pacific,Tonga,exports_per_capita,189.2237097,4364.015561
Middle East & North Africa,Tunisia,exports_per_capita,1263.531721,3317.541013
Asia,Turkey,exports_per_capita,2144.567238,9042.492983
