Region,Country,Duty-Free (%),Preference in Competing Markets (%),Tariffs (%),Trade Openness (%),GDP per capita,Duty-Free,Preference in Competing Markets,Tariffs,Trade Openness
Europe,Albania,89.5,58.2,1.02,76.72829956,5352.857411,0.895,0.625134264,0.056415929,0.141750547
Middle East & North Africa,Algeria,33.8,34,9.98,52.04477457,3948.343279,0.338,0.365198711,0.55199115,0.072244531
Latin America & Caribbean,Argentina,42.3,50.3,7.42,32.39366596,10006.14897,0.423,0.54027927,0.41039823,0.01690923
Asia & Pacific,Armenia,56.2,62.3,2.22,91.43228557,4622.733493,0.562,0.669172932,0.122787611,0.18315531
Latin America & Caribbean,Australia,57.9,5.7,0.86,144.9643575,54907.10191,0.579,0.06122449,0.047566372,0.333895574
Asia & Pacific,Austria,95.4,47.7,1.69,45.6862153,50277.27509,0.954,0.512352309,0.093473451,0.054339547
Europe,Azerbaijan,31.5,32.1,5.19,107.7247034,4793.58702,0.315,0.344790548,0.287057522,0.229032917
Asia & Pacific,Bahamas,42.3,41.8,17.05,86.04387801,32933.48601,0.423,0.448979592,0.943030973,0.167982164
Middle East & North Africa,Bahrain,16.2,61.2,4.28,151.4048543,23503.97713,0.162,0.65735768,0.236725664,0.352031286
Asia & Pacific,Bangladesh,88,51.2,10.72,36.75929975,1855.739824,0.88,0.549946294,0.592920354,0.029202361
 Africa,Benin,10.3,16.5,15.25,63.68133231,1219.432672,0.103,0.177228786,0.843473451,0.105011762
Asia & Pacific,Bhutan,67.4,69.9,2.82,86.71171549,3243.231126,0.674,0.750805585,0.155973451,0.169862718
Latin America & Caribbean,Bolivia,51.5,54.6,4.73,56.39730664,3552.068762,0.515,0.586466165,0.261615044,0.084500769
Europe,Bosnia and Herz.,83.2,59.9,2.76,95.88061828,6073.265203,0.832,0.6433942,0.152654867,0.195681312
 Africa,Botswana,96.7,28.5,0.33,74.11064198,7961.33814,0.967,0.306122449,0.018252212,0.13437952
Latin America & Caribbean,Brazil,31.3,18.4,7.95,28.97662365,8717.186278,0.313,0.19763695,0.439712389,0.007287225
Asia & Pacific,Brunei,91.5,48.7,0.03,108.5096584,31086.75108,0.915,0.523093448,0.001659292,0.231243262
Europe,Bulgaria,93.1,43.2,1.69,123.723105,9737.601351,0.931,0.464017186,0.093473451,0.274082608
 Africa,Burundi,68.6,41,7.89,41.85736024,261.2474725,0.686,0.440386681,0.436393805,0.043557924
Asia & Pacific,Cambodia,44.5,63.2,9.77,123.5565238,1643.121389,0.445,0.678839957,0.540376106,0.273613534
 Africa,Cameroon,4.9,46.5,12.7,40.55391185,1497.909176,0.049,0.499462943,0.702433628,0.03988756
North America,Canada,88.9,25.7,1.47,64.9767045,46194.72523,0.889,0.276047261,0.08130531,0.108659384
 Africa,Chad,16.2,12.3,16.36,74.57052556,709.5403101,0.162,0.132116004,0.904867257,0.1356745
Latin America & Caribbean,Chile,92.5,45.4,0.49,56.76178882,14896.45387,0.925,0.487647691,0.02710177,0.08552711
Asia & Pacific,China,50.2,6.7,3.39,35.68008749,10261.67913,0.502,0.071965628,0.1875,0.026163422
Latin America & Caribbean,Colombia,60.3,46,3.28,38.09475797,6432.387583,0.603,0.494092374,0.181415929,0.032962861
 Africa,Congo,0.3,13.4,11.55,112.2508627,2011.072399,0.003,0.143931257,0.638827434,0.24177807
Latin America & Caribbean,Costa Rica,78.3,32.5,1.8,66.09901583,12238.37496,0.783,0.349087003,0.099557522,0.111819686
 Africa,Côte d'Ivoire,10.8,42.2,10.17,45.59707942,2286.162777,0.108,0.453276047,0.5625,0.05408855
Europe,Croatia,95.1,56.9,1.69,102.8497733,14853.23984,0.951,0.611170784,0.093473451,0.215305665
Europe,Cyprus,90.8,37.9,1.69,142.6429574,27858.371,0.908,0.407089151,0.093473451,0.327358774
 Africa,Czechia,94,53.3,1.69,67.28727813,23101.7777,0.94,0.572502685,0.093473451,0.115165698
Europe,Denmark,88.9,47.1,1.69,105.0016824,59822.09296,0.889,0.505907626,0.093473451,0.221365198
Latin America & Caribbean,Dominican Rep.,57.4,41,8.3,139.7866015,8282.116222,0.574,0.440386681,0.459070796,0.319315599
Latin America & Caribbean,Ecuador,59.8,43.7,7.35,46.7399136,6183.823825,0.598,0.469387755,0.406526549,0.057306642
Middle East & North Africa,Egypt,59.2,49,8.19,48.27827106,3020.03135,0.592,0.526315789,0.452986726,0.061638483
Latin America & Caribbean,El Salvador,82.2,77.1,1.94,77.17887668,4187.250031,0.822,0.828141783,0.107300885,0.143019322
Europe,Estonia,93.6,44.7,1.69,141.1541653,23659.87229,0.936,0.480128894,0.093473451,0.323166504
 Africa,Ethiopia,12,25.6,12.13,28.74202171,857.501351,0.12,0.274973147,0.67090708,0.006626613
Europe,Finland,91.8,33.3,1.69,64.52272903,48685.85399,0.918,0.357679914,0.093473451,0.10738104
Europe,France,90.5,45.8,1.69,29.12537837,40493.92857,0.905,0.491944146,0.093473451,0.007706102
 Africa,Gabon,22.1,5.8,16.93,72.93915874,7667.366861,0.221,0.062298604,0.936393805,0.131080755
Asia & Pacific,Georgia,95.2,57.8,0.67,116.8684915,4769.186543,0.952,0.620837809,0.037057522,0.254780791
Europe,Germany,88.4,42,1.69,88.09866064,46258.87829,0.884,0.45112782,0.093473451,0.173768199
 Africa,Ghana,15.9,34.7,10.34,71.37819082,2202.115567,0.159,0.372717508,0.571902655,0.126685246
Europe,Greece,90.3,55,1.69,74.38446677,19582.53601,0.903,0.590762621,0.093473451,0.135150579
Latin America & Caribbean,Guatemala,83,56.4,1.39,45.86557829,4619.987097,0.83,0.605800215,0.076880531,0.054844613
Latin America & Caribbean,Honduras,72.7,71.3,3.41,96.61335126,2574.912191,0.727,0.765843179,0.188606195,0.197744606
Asia & Pacific,Hong Kong,100,7.7,0,352.8222341,48755.83508,1,0.082706767,0,0.919199863
Europe,Hungary,92.2,50.7,1.69,162.9805419,16475.74184,0.922,0.544575725,0.093473451,0.384627114
Europe,Iceland,94.9,52.4,1.57,85.91667594,66944.82551,0.949,0.562835661,0.086836283,0.167623977
Asia & Pacific,India,13.4,8.8,4.88,40.01853711,2104.1459,0.134,0.094522019,0.269911504,0.038380005
Asia & Pacific,Indonesia,62.1,24.6,2,37.30339786,4135.569263,0.621,0.264232009,0.110619469,0.03073448
Middle East & North Africa,Iran,0,0,15.23,48.78063765,5520.310789,0,0,0.842367257,0.06305309
Europe,Ireland,89.3,46.7,1.69,239.2150917,78660.95646,0.893,0.501611171,0.093473451,0.59929499
Middle East & North Africa,Israel,86.9,31.5,1.85,58.46463163,43641.39774,0.869,0.338345865,0.102323009,0.090322123
Europe,Italy,87.7,41.6,1.69,60.13943,33189.5658,0.877,0.446831364,0.093473451,0.095038166
Latin America & Caribbean,Jamaica,53.7,63.3,10.84,89.02638174,5582.263778,0.537,0.679914071,0.599557522,0.176380557
Asia & Pacific,Japan,79.1,6.7,2.45,36.81650736,40246.88013,0.791,0.071965628,0.13550885,0.029363452
Middle East & North Africa,Jordan,80.6,62.3,4.41,87.61716788,4330.329346,0.806,0.669172932,0.243915929,0.17241237
Asia & Pacific,Kazakhstan,40.1,28.2,2.37,64.43150616,9731.145207,0.401,0.302900107,0.131084071,0.107124167
 Africa,Kenya,46,68.3,10.07,33.40144307,1816.546916,0.46,0.733619764,0.556969027,0.019747016
Middle East & North Africa,Kuwait,66.7,6.1,4.77,100.4875821,32031.9801,0.667,0.065520945,0.263827434,0.208654002
Asia & Pacific,Kyrgyzstan,39.4,49.1,2.92,103.0849986,1309.392992,0.394,0.527389903,0.161504425,0.215968033
Asia & Pacific,Laos,26.2,52.1,0.73,75.09189092,2534.898277,0.262,0.559613319,0.040376106,0.137142606
Europe,Latvia,76,40.4,1.69,119.7300625,17836.36489,0.76,0.433941998,0.093473451,0.262838652
Middle East & North Africa,Lebanon,93.2,49.1,1.05,63.61166881,7784.316857,0.932,0.527389903,0.058075221,0.104815598
 Africa,Lesotho,42.2,84.4,3.36,134.6219131,1157.535164,0.422,0.906552095,0.185840708,0.30477242
 Africa,Liberia,86.8,40.9,9.54,127.4522759,621.8929536,0.868,0.439312567,0.527654867,0.284583532
Europe,Lithuania,0,42.8,1.69,150.5807405,19455.45413,0,0.45972073,0.093473451,0.349710674
Europe,Luxembourg,91.7,54,1.69,381.5166164,114704.5942,0.917,0.580021482,0.093473451,1
 Africa,Madagascar,93.8,69.5,7.74,59.8221541,522.2198092,0.938,0.74650913,0.428097345,0.094144753
 Africa,Malawi,31.8,65.7,4.77,66.60450958,411.5523404,0.318,0.705692803,0.263827434,0.113243099
Asia & Pacific,Malaysia,66.5,23,4.02,123.0909506,11414.83766,0.665,0.247046187,0.222345133,0.272302533
 Africa,Mali,89.8,25.8,9.42,57.18899731,890.7372855,0.898,0.277121375,0.521017699,0.086730081
Middle East & North Africa,Malta,34.5,41.8,1.69,261.0120836,29416.23061,0.345,0.448979592,0.093473451,0.660672855
 Africa,Mauritania,84.2,24.4,8.03,94.2184136,1677.919253,0.842,0.262083781,0.444137168,0.191000732
