Region,Year,Value
East Asia & Pacific,1970,25.00376985
East Asia & Pacific,1971,25.23155947
East Asia & Pacific,1972,24.7857062
East Asia & Pacific,1973,27.90260457
East Asia & Pacific,1974,34.02630977
East Asia & Pacific,1975,31.62409597
East Asia & Pacific,1976,32.16749694
East Asia & Pacific,1977,31.78528172
East Asia & Pacific,1978,31.24735047
East Asia & Pacific,1979,34.80697878
East Asia & Pacific,1980,38.36298773
East Asia & Pacific,1981,39.24022098
East Asia & Pacific,1982,39.42296813
East Asia & Pacific,1983,37.84285378
East Asia & Pacific,1984,38.38281366
East Asia & Pacific,1985,37.68194031
East Asia & Pacific,1986,35.41364047
East Asia & Pacific,1987,38.22837493
East Asia & Pacific,1988,41.09843382
East Asia & Pacific,1989,39.69234654
East Asia & Pacific,1990,39.88758068
East Asia & Pacific,1991,40.02230642
East Asia & Pacific,1992,41.05802932
East Asia & Pacific,1993,42.69366463
East Asia & Pacific,1994,43.44342391
East Asia & Pacific,1995,44.87858291
East Asia & Pacific,1996,44.93168899
East Asia & Pacific,1997,46.50167965
East Asia & Pacific,1998,47.87104644
East Asia & Pacific,1999,46.51078188
East Asia & Pacific,2000,51.44721337
East Asia & Pacific,2001,50.21087539
East Asia & Pacific,2002,51.3814113
East Asia & Pacific,2003,56.03882621
East Asia & Pacific,2004,62.08422238
East Asia & Pacific,2005,64.65437511
East Asia & Pacific,2006,67.35781378
East Asia & Pacific,2007,67.19851174
East Asia & Pacific,2008,68.52938815
East Asia & Pacific,2009,56.53163603
East Asia & Pacific,2010,62.18280173
East Asia & Pacific,2011,64.50647079
East Asia & Pacific,2012,63.45541269
East Asia & Pacific,2013,63.32708839
East Asia & Pacific,2014,62.94318057
East Asia & Pacific,2015,57.72825934
East Asia & Pacific,2016,53.89962241
East Asia & Pacific,2017,56.11411196
East Asia & Pacific,2018,57.43351804
Europe & Central Asia,1970,41.0831146
Europe & Central Asia,1971,40.7241102
Europe & Central Asia,1972,40.58226955
Europe & Central Asia,1973,43.35098963
Europe & Central Asia,1974,50.52383861
Europe & Central Asia,1975,46.22019825
Europe & Central Asia,1976,48.96092486
Europe & Central Asia,1977,49.41208918
Europe & Central Asia,1978,47.55585878
Europe & Central Asia,1979,49.94330267
Europe & Central Asia,1980,51.9596733
Europe & Central Asia,1981,53.83031169
Europe & Central Asia,1982,53.69864433
Europe & Central Asia,1983,53.76206137
Europe & Central Asia,1984,56.98822005
Europe & Central Asia,1985,57.30770965
Europe & Central Asia,1986,51.04138366
Europe & Central Asia,1987,50.36251893
Europe & Central Asia,1988,51.09711713
Europe & Central Asia,1989,52.8839077
Europe & Central Asia,1990,51.85669732
Europe & Central Asia,1991,50.63411789
Europe & Central Asia,1992,57.13236016
Europe & Central Asia,1993,53.51136071
Europe & Central Asia,1994,54.71797862
Europe & Central Asia,1995,56.81479031
Europe & Central Asia,1996,57.21080463
Europe & Central Asia,1997,60.39063229
Europe & Central Asia,1998,61.09463788
Europe & Central Asia,1999,62.69317162
Europe & Central Asia,2000,69.17428282
Europe & Central Asia,2001,68.21549336
Europe & Central Asia,2002,65.98563124
Europe & Central Asia,2003,65.14029178
Europe & Central Asia,2004,67.55998289
Europe & Central Asia,2005,70.07205195
Europe & Central Asia,2006,73.80954904
Europe & Central Asia,2007,74.72680926
Europe & Central Asia,2008,76.35684368
Europe & Central Asia,2009,67.64470871
Europe & Central Asia,2010,74.21501495
Europe & Central Asia,2011,78.97921412
Europe & Central Asia,2012,79.9339964
Europe & Central Asia,2013,79.47727322
Europe & Central Asia,2014,79.58203405
Europe & Central Asia,2015,80.20724496
Europe & Central Asia,2016,79.60585057
Europe & Central Asia,2017,82.60207467
